java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/springboot-dynamicDataSource/src/main/java/cn/abel/Application_main_0.java,-,-,-,1,-,0,6.417,603.241,94.012,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/HikariConfig_getHikariDataSource_0.java,-,-,-,1,-,0,7.293,4286.652,587.768,-,-,-,15,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/HikariConfig_getHikariDataSource_1.java,-,-,-,1,-,0,8.793,5484.06,623.677,-,-,-,15,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/DynamicDataSourceConfig_getUserDataSource_1.java,-,-,-,1,-,0,4,229.438,57.359,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/DynamicDataSourceContextHolder_resetDatabaseType_2.java,-,-,-,1,-,0,4,243.777,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/DynamicDataSourceConfig_getPrimaryDataSource_0.java,-,-,-,1,-,0,4,229.438,57.359,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/config/DynamicDataSource_determineCurrentLookupKey_0.java,-,-,-,1,-,0,4,207.566,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/service/NewsService_getByMap_0.java,-,-,-,1,-,0,6.05,850.353,140.554,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/service/NewsService_delete_4.java,-,-,-,1,-,0,4.667,408.656,87.569,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/service/NewsService_create_2.java,-,-,-,1,-,0,6,593.947,98.991,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/service/NewsService_update_3.java,-,-,-,1,-,0,6,593.947,98.991,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/service/NewsService_getById_1.java,-,-,-,1,-,0,4.571,428.642,93.765,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/bean/User_setAddress_5.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/bean/News_getReadSum_8.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/bean/News_getContent_4.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/bean/User_getMobile_6.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/springboot-dynamicDataSource/src/main/java/cn/abel/bean/User_getAddress_4.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
