java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureDispatcher_setTimeoutExecutorUncaughtExceptionHandler_2.java,-,-,-,1,-,0,5,304.722,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureEvent_suspendIfNotReady_2.java,-,-,-,2,-,0,6.3,623.645,98.991,-,-,-,6,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/LockedResource_getResourceName_2.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureExecutor_nextProcId_59.java,-,-,-,5,-,0,20.25,7899.199,390.084,-,-,-,16,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_getState_64.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/LockAndQueue_isWaitingQueueEmpty_9.java,-,-,-,1,-,0,4,186.028,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_getProcId_29.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/LockAndQueue_wakeWaitingProcedures_12.java,-,-,-,1,-,0,6.75,1020.844,151.236,-,-,-,6,100,-,-,-,-,-,-,0,2,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/LockedResource_getResourceType_1.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState_getException_9.java,-,-,-,4,-,0,9.286,1725.684,185.843,-,-,-,10,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/InlineChore_getTimeout_2.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_completionCleanup_17.java,-,-,-,1,-,0,3,90,30,-,-,-,2,100,-,-,-,-,-,-,0,1,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureExecutor_refreshConfiguration_17.java,-,-,-,1,-,0,6.875,888.715,129.268,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureDispatcher_submitTask_10.java,-,-,-,1,-,0,5,304.722,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_getChildrenLatch_76.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/StateMachineProcedure_abort_13.java,-,-,-,3,-,0,7.857,2449.68,311.777,-,-,-,13,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureExecutor_getScheduler_24.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureDispatcher_stop_3.java,-,-,-,2,-,0,4.95,862.117,174.165,-,-,-,9,100,-,-,-,-,-,-,2,1,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_doReleaseLock_88.java,-,-,-,2,-,0,6.6,1130.583,171.3,-,-,-,7,100,-,-,-,-,-,-,0,6,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/Procedure_hasException_69.java,-,-,-,1,-,0,4.5,179.384,39.863,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RemoteProcedureException_fromProto_9.java,-,-,-,1,-,0,6.75,712.031,105.486,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureException_ProcedureException_0.java,-,-,-,1,-,0,3.5,126,36,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/ProcedureExecutor_getResult_46.java,-,-,-,2,-,0,8.25,1471.907,178.413,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/StoppableThread_awaitTermination_2.java,-,-,-,5,-,0,12.857,7311.751,568.692,-,-,-,16,100,-,-,-,-,-,-,0,1,-,-
/hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/AbstractProcedureScheduler_waitProcedure_22.java,-,-,-,1,-,0,6.3,479.727,76.147,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
