java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setIgnoreExceptionOnPreLoad_107.java,0,-,-,1,0,0,13.5,627.844,46.507,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_reconnectIfExpired_27.java,8,-,-,6,8,0,10.2,5049,495,-,-,-,18,100,-,-,8,8,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getConnectionProperties_78.java,0,-,-,1,0,0,4,235.241,58.81,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getIdle_61.java,1,-,-,2,1,0,4.8,515.101,107.313,-,-,-,7,100,-,-,1,1,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getRemoveAbandonedTimeout_95.java,0,-,-,1,0,0,4,212.603,53.151,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_silentlyRollbackTransactionIfNeeded_16.java,2,-,-,3,2,0,6.667,1274.378,191.157,-,-,-,11,100,-,-,2,2,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_clearWarnings_43.java,1,-,-,2,1,0,5.625,758.735,134.886,-,-,-,7,100,-,-,1,1,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementDecoratorInterceptor_closeInvoked_0.java,0,-,-,1,0,0,3,75.799,25.266,-,-,-,2,100,-,-,0,0,-,-,0,1,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_createCacheKey_18.java,1,-,-,1,1,0,7.071,796.158,112.588,-,-,-,3,100,-,-,1,1,-,-,0,0,-,-
/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_isCached_13.java,2,-,-,3,2,0,11.2,3645.429,325.485,-,-,-,11,100,-,-,2,2,-,-,0,0,-,-
