java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/arraytypestyle/Example2_toCharArray_0.java,-,-,-,1,-,0,4.5,179.384,39.863,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/arraytypestyle/Example1_toCharArray_0.java,-,-,-,1,-,0,4.5,179.384,39.863,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/emptystatement/Example1_foo_0.java,-,-,-,4,-,0,15.4,3018.4,196,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/superclone/Example1_clone_0.java,-,-,-,1,-,0,4,186.028,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/parameterassignment/Example1_methodOne_0.java,-,-,-,2,-,0,8.333,1033.333,124,-,-,-,7,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/parameterassignment/Example1_methodTwo_1.java,-,-,-,2,-,0,8.571,1226.239,143.061,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/fallthrough/Example2_foo_0.java,-,-,-,9,-,0,10.5,3558.626,338.917,-,-,-,26,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/fallthrough/Example3_foo_0.java,-,-,-,9,-,0,10.5,3558.626,338.917,-,-,-,26,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/fallthrough/Example1_foo_0.java,-,-,-,9,-,0,10.5,3558.626,338.917,-,-,-,26,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/innerassignment/Example1_foo_0.java,-,-,-,5,-,0,17.654,13602.811,770.53,-,-,-,22,100,-,-,-,-,-,-,7,3,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/coding/innerassignment/Example1_testMethod_1.java,-,-,-,1,-,0,8,329.672,41.209,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/whitespace/whitespacearound/Example7_example_0.java,-,-,-,3,-,0,6.429,945.956,147.149,-,-,-,5,100,-,-,-,-,-,-,0,1,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/whitespace/whitespacearound/Example1_main_1.java,-,-,-,5,-,0,10.5,3364.474,320.426,-,-,-,12,100,-,-,-,-,-,-,3,4,-,-
/src/xdocs-examples/resources/com/puppycrawl/tools/checkstyle/checks/whitespace/whitespacearound/Example9_example_0.java,-,-,-,2,-,0,4,286.797,71.699,-,-,-,5,100,-,-,-,-,-,-,0,1,-,-
