java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/cim-server/src/main/java/com/crossoverjie/cim/server/CIMServerApplication_main_0.java,-,-,-,1,-,0,6.6,927.657,140.554,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getZkAddr_5.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setZkSwitch_8.java,-,-,-,1,-,0,13.5,627.844,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getRouteUrl_0.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setZkRoot_4.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getZkConnectTimeout_2.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setZkAddr_6.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getCimServerPort_9.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_isZkSwitch_7.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setRouteUrl_1.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/SwaggerConfig_createRestApi_0.java,-,-,-,1,-,0,4.857,1126.325,231.89,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/SwaggerConfig_apiInfo_1.java,-,-,-,1,-,0,7.077,1616.373,228.401,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getHeartBeatTime_11.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/BeanConfig_okHttpClient_1.java,-,-,-,1,-,0,9.167,2411.809,263.106,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_getZkRoot_3.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setHeartBeatTime_12.java,-,-,-,1,-,0,13.5,627.844,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/AppConfiguration_setCimServerPort_10.java,-,-,-,1,-,0,13.5,627.844,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/config/BeanConfig_heartBeat_2.java,-,-,-,1,-,0,6.3,1502.034,238.418,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/server/CIMServer_destroy_1.java,-,-,-,1,-,0,5.5,814,148,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/server/CIMServer_start_0.java,-,-,-,2,-,0,5.8,2469.237,425.73,-,-,-,12,100,-,-,-,-,-,-,2,1,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/init/CIMServerInitializer_initChannel_0.java,-,-,-,1,-,0,6.6,2057.731,311.777,-,-,-,9,100,-,-,-,-,-,-,1,2,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/kit/ServerHeartBeatHandlerImpl_process_0.java,-,-,-,4,-,0,12.5,8425.496,674.04,-,-,-,13,100,-,-,-,-,-,-,2,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/kit/ZKit_createNode_1.java,-,-,-,1,-,0,5,304.722,60.944,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/util/SpringBeanFactory_setApplicationContext_2.java,-,-,-,1,-,0,5.333,258.304,48.432,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/util/SessionSocketHolder_remove_5.java,-,-,-,1,-,0,8,1855.124,231.89,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/util/SessionSocketHolder_get_3.java,-,-,-,1,-,0,4.8,319.718,66.608,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/util/SessionSocketHolder_put_2.java,-,-,-,1,-,0,6,515.71,85.952,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/util/SessionSocketHolder_getRelationShip_4.java,-,-,-,1,-,0,5,304.588,60.918,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-server/src/main/java/com/crossoverjie/cim/server/CIMServerApplication_run_1.java,-,-,-,1,-,0,6.875,1938.931,282.026,-,-,-,6,100,-,-,-,-,-,-,0,1,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/BeanConfig_buildRouteHandle_4.java,-,-,-,2,-,0,9.615,6114.431,635.901,-,-,-,14,100,-,-,-,-,-,-,3,1,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_setPort_2.java,-,-,-,1,-,0,13.5,627.844,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getZkAddr_5.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getZkConnectTimeout_0.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_setConsistentHashWay_10.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_setZkRoot_4.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_setZkAddr_6.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/BeanConfig_redisTemplate_2.java,-,-,-,1,-,0,10.8,2408.093,222.972,-,-,-,7,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/BeanConfig_okHttpClient_3.java,-,-,-,1,-,0,9.167,2411.809,263.106,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/BeanConfig_buildCache_1.java,-,-,-,1,-,0,10.562,2087.723,197.654,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/SwaggerConfig_createRestApi_0.java,-,-,-,1,-,0,4.857,1126.325,231.89,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/SwaggerConfig_apiInfo_1.java,-,-,-,1,-,0,6.571,1523.851,231.89,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getConsistentHashWay_9.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getPort_1.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_setRouteWay_8.java,-,-,-,1,-,0,9,467.023,51.891,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getZkRoot_3.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/AppConfiguration_getRouteWay_7.java,-,-,-,1,-,0,3.5,122.042,34.869,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/config/BeanConfig_buildZKClient_0.java,-,-,-,1,-,0,6.75,599.471,88.811,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/service/impl/UserInfoCacheServiceImpl_saveAndCheckUserLoginStatus_1.java,-,-,-,2,-,0,7.5,1313.526,175.137,-,-,-,8,100,-,-,-,-,-,-,1,0,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/service/impl/AccountServiceRedisImpl_offLine_7.java,-,-,-,1,-,0,5.786,601.714,104,-,-,-,4,100,-,-,-,-,-,-,3,3,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/service/impl/UserInfoCacheServiceImpl_loadUserInfoByUserId_0.java,-,-,-,3,-,0,13.5,4518.481,334.702,-,-,-,12,100,-,-,-,-,-,-,3,2,-,-
/cim-forward-route/src/main/java/com/crossoverjie/cim/route/service/impl/AccountServiceRedisImpl_loadRouteRelated_3.java,-,-,-,3,-,0,12.857,11174.835,869.154,-,-,-,20,100,-,-,-,-,-,-,6,0,-,-
