java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_detectLocale_5.java,4,-,-,4,4,0,10.684,4365.525,408.596,-,-,-,14,100,-,-,4,4,-,-,1,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_ViewMessageBodyWriter_1.java,0,-,-,1,0,0,9,975.762,108.418,-,-,-,4,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_run_3.java,3,-,-,3,3,0,12.6,6089.693,483.309,-,-,-,8,100,-,-,3,3,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_setHeaders_0.java,0,-,-,1,0,0,9,467.023,51.891,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_0.java,0,-,-,1,0,0,4,272.457,68.114,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_toResponse_0.java,0,-,-,1,0,0,5.464,1087.594,199.037,-,-,-,7,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_0.java,0,-,-,1,0,0,5.25,232.989,44.379,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_1.java,0,-,-,1,0,0,6,408.686,68.114,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_getViewConfiguration_2.java,-,-,-,1,-,0,9.9,1069.2,108,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_getRenderers_6.java,0,-,-,1,0,0,4.5,225.853,50.189,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_isWriteable_2.java,0,-,-,1,0,0,7.636,1170.252,153.247,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_isMappable_1.java,0,-,-,1,0,0,7.5,1069.677,142.624,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_1.java,0,-,-,1,0,0,9,1806.07,200.674,-,-,-,5,100,-,-,0,0,-,-,2,0,-,-
/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_2.java,0,-,-,1,0,0,5.25,232.989,44.379,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonView_PersonView_0.java,0,-,-,1,0,0,7.875,611.96,77.709,-,-,-,4,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ErrorView_ErrorView_0.java,0,-,-,1,0,0,7.875,611.96,77.709,-,-,-,4,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ValidationErrorView_ValidationErrorView_0.java,0,-,-,1,0,0,7.875,611.96,77.709,-,-,-,4,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsConfiguration_getViewRendererConfiguration_0.java,0,-,-,1,0,0,9.625,940.096,97.672,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_initialize_0.java,0,-,-,1,0,0,13.722,3855.179,280.944,-,-,-,9,100,-,-,0,0,-,-,1,6,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_run_1.java,0,-,-,1,0,0,19.853,25010.679,1259.797,-,-,-,34,98.246,-,-,0,0,-,-,4,9,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/Person_getName_2.java,0,-,-,1,0,0,3.5,122.042,34.869,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonDAO_find_0.java,0,-,-,1,0,0,4.9,316.194,64.529,-,-,-,3,100,-,-,0,0,-,-,0,0,-,-
