java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/entity/PermissionEntity_getId_0.java,-,-,-,1,-,0,4,186.028,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/entity/DimensionUserEntity_hasFeature_1.java,-,-,-,2,-,0,8.4,824.033,98.099,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/entity/UserEntity_getId_0.java,-,-,-,1,-,0,4,186.028,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/entity/UserEntity_generateId_1.java,-,-,-,2,-,0,4,484.454,121.114,-,-,-,6,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/entity/DimensionUserEntity_generateId_0.java,-,-,-,2,-,0,6,1448.883,241.481,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/UserDimensionProvider_getDimensionById_2.java,-,-,-,1,-,0,9.208,1881.536,204.33,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/UserDimensionProvider_getAllType_0.java,-,-,-,1,-,0,6,492.268,82.045,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/UserDimensionProvider_getDimensionByUserId_1.java,-,-,-,1,-,0,9,1605.395,178.377,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_disable_0.java,-,-,-,1,-,0,7.857,982.911,125.098,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_useAsync_6.java,-,-,-,1,-,0,4.5,217.944,48.432,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_disable_1.java,-,-,-,1,-,0,7.857,982.911,125.098,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_all_5.java,-,-,-,1,-,0,6.667,493.392,74.009,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_of_4.java,-,-,-,3,-,0,11.333,2737.878,241.577,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_doOnEnabled_2.java,-,-,-,2,-,0,9.625,1880.77,195.405,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_of_8.java,-,-,-,2,-,0,7.333,869.267,118.536,-,-,-,3,100,-,-,-,-,-,-,1,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_async_3.java,-,-,-,1,-,0,6.286,812.54,129.268,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/ClearUserAuthorizationCacheEvent_publish_7.java,-,-,-,1,-,0,6.417,629.469,98.099,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/event/UserDeletedEvent_UserDeletedEvent_0.java,-,-,-,1,-,0,11.25,1327.815,118.028,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-api/src/main/java/org/hswebframework/web/system/authorization/api/UserDimensionProvider_getUserIdByDimensionId_3.java,-,-,-,1,-,0,8.75,699.601,79.954,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-oauth2/src/main/java/org/hswebframework/web/oauth2/web/WebFluxOAuth2ClientController_getService_0.java,-,-,-,1,-,0,5,304.588,60.918,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-oauth2/src/main/java/org/hswebframework/web/oauth2/service/OAuth2ClientService_getCacheName_0.java,-,-,-,1,-,0,4.667,201.53,43.185,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-oauth2/src/main/java/org/hswebframework/web/oauth2/service/InDBOAuth2ClientManager_getClient_0.java,-,-,-,1,-,0,6.5,1072.493,164.999,-,-,-,6,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-oauth2/src/main/java/org/hswebframework/web/oauth2/entity/OAuth2ClientEntity_enabled_0.java,-,-,-,1,-,0,4.5,241.985,53.774,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-oauth2/src/main/java/org/hswebframework/web/oauth2/entity/OAuth2ClientEntity_toOAuth2Client_1.java,-,-,-,1,-,0,7.393,2140.291,289.508,-,-,-,10,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-default/src/main/java/org/hswebframework/web/system/authorization/defaults/webflux/WebFluxAuthorizationSettingController_getService_0.java,-,-,-,1,-,0,5,304.588,60.918,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/hsweb-system/hsweb-system-authorization/hsweb-system-authorization-default/src/main/java/org/hswebframework/web/system/authorization/defaults/webflux/WebFluxDimensionTypeController_findAllType_0.java,-,-,-,1,-,0,6.722,1016.854,151.267,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
