java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/server/src/main/java/cn/keking/ServerMain_main_0.java,-,-,-,2,-,0,12.273,8842.011,720.46,-,-,-,14,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_captcha_3.java,-,-,-,5,-,0,16.744,19897.014,1188.294,-,-,-,22,100,-,-,-,-,-,-,3,2,-,-
/server/src/main/java/cn/keking/web/controller/FileController_existsFile_8.java,-,-,-,1,-,0,7.143,817.493,114.449,-,-,-,4,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/OnlinePreviewController_getCorsFile_3.java,-,-,-,21,-,0,24.03,94070.174,3914.648,-,-,-,82,85.085,-,-,-,-,-,-,1,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_deleteFile_2.java,-,-,-,4,-,0,13.636,11423.787,837.744,-,-,-,16,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/OnlinePreviewController_picturesPreview_2.java,-,-,-,3,-,0,15.878,17992.155,1133.147,-,-,-,23,100,-,-,-,-,-,-,0,2,-,-
/server/src/main/java/cn/keking/web/controller/OnlinePreviewController_addQueueTask_4.java,-,-,-,1,-,0,7.5,1032.056,137.608,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_fileUploadCheck_5.java,-,-,-,6,-,0,15.4,10906.956,708.244,-,-,-,19,100,-,-,-,-,-,-,0,1,-,-
/server/src/main/java/cn/keking/web/controller/OnlinePreviewController_onlinePreview_1.java,-,-,-,2,-,0,8.906,5811.065,652.47,-,-,-,14,100,-,-,-,-,-,-,1,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_directory_7.java,-,-,-,3,-,0,8.25,3157.584,382.737,-,-,-,13,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/OnlinePreviewController_OnlinePreviewController_0.java,-,-,-,1,-,0,8.889,1472.615,165.669,-,-,-,6,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_getFiles_4.java,-,-,-,2,-,0,14.75,13180.512,893.594,-,-,-,14,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/controller/FileController_deleteFileCheck_6.java,-,-,-,8,-,0,17.951,22302.695,1242.406,-,-,-,27,100,-,-,-,-,-,-,2,0,-,-
/server/src/main/java/cn/keking/web/controller/IndexController_root_4.java,-,-,-,1,-,0,4.667,201.53,43.185,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/filter/TrustDirFilter_doFilter_1.java,-,-,-,2,-,0,8.25,2667.492,323.332,-,-,-,9,100,-,-,-,-,-,-,0,0,-,-
/server/src/main/java/cn/keking/web/filter/ChinesePathFilter_destroy_2.java,-,-,-,1,-,0,3,75.799,25.266,-,-,-,2,100,-,-,-,-,-,-,1,0,-,-
/server/src/main/java/cn/keking/web/filter/BaseUrlFilter_destroy_3.java,-,-,-,1,-,0,3,75.799,25.266,-,-,-,2,100,-,-,-,-,-,-,1,0,-,-
/server/src/main/java/cn/keking/web/filter/BaseUrlFilter_doFilter_2.java,-,-,-,5,-,0,14.97,14222,950.053,-,-,-,20,100,-,-,-,-,-,-,4,3,-,-
