java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,java,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/src/main/java/edu/princeton/cs/algs4/Genome_main_3.java,-,-,-,3,-,0,9.091,2116.298,232.793,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/Insertion_sort_4.java,-,-,-,4,-,0,22.667,9915.971,437.469,-,-,-,8,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/GraphGenerator_main_16.java,-,-,-,1,-,0,38.357,90706.041,2364.776,-,-,-,47,93.669,-,-,-,-,-,-,13,0,-,-
/src/main/java/edu/princeton/cs/algs4/FlowNetwork_main_10.java,-,-,-,1,-,0,8.556,1405.107,164.233,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/FloydWarshall_check_6.java,-,-,-,6,-,0,16.4,10259.199,625.561,-,-,-,16,100,-,-,-,-,-,-,1,1,-,-
/src/main/java/edu/princeton/cs/algs4/QuickFindUF_count_1.java,-,-,-,1,-,0,3.5,105,30,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/FordFulkerson_hasAugmentingPath_4.java,-,-,-,6,-,0,21.452,17337.403,808.181,-,-,-,21,100,-,-,-,-,-,-,4,3,-,-
/src/main/java/edu/princeton/cs/algs4/TopologicalX_rank_4.java,-,-,-,2,-,0,7,738.402,105.486,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/Out_Out_1.java,-,-,-,1,-,0,4,186.028,46.507,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/IndexBinomialMinPQ_keyOf_9.java,-,-,-,4,-,0,12,2563.409,213.617,-,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/LinearProgramming_isDualFeasible_10.java,-,-,-,6,-,0,25.091,23306.523,928.883,-,-,-,21,100,-,-,-,-,-,-,2,2,-,-
/src/main/java/edu/princeton/cs/algs4/Out_println_13.java,-,-,-,1,-,0,5.333,295.205,55.351,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
/src/main/java/edu/princeton/cs/algs4/SequentialSearchST_put_5.java,-,-,-,5,-,0,13.714,5801.686,423.04,-,-,-,15,100,-,-,-,-,-,-,1,0,-,-
/src/main/java/edu/princeton/cs/algs4/ResizingArrayBag_iterator_5.java,-,-,-,1,-,0,4.5,258.117,57.359,-,-,-,3,100,-,-,-,-,-,-,0,0,-,-
