repo,java_file,mxcoco
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_detectLocale_5.java,4
lenve/VBlog,/blogserver/src/main/java/org/sang/config/MyPasswordEncoder_encode_0.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PoolProperties_setIgnoreExceptionOnPreLoad_107.java,0
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_ViewMessageBodyWriter_1.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/config/WebSecurityConfig_configure_1.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/ConnectionPool_reconnectIfExpired_27.java,8
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_run_3.java,3
lenve/VBlog,/blogserver/src/main/java/org/sang/config/WebSecurityConfig_configure_0.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getConnectionProperties_78.java,0
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_setHeaders_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/config/WebSecurityConfig_getAccessDeniedHandler_3.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getIdle_61.java,1
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/config/WebSecurityConfig_configure_2.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/DataSourceProxy_getRemoveAbandonedTimeout_95.java,0
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_toResponse_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_stripHtml_2.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_silentlyRollbackTransactionIfNeeded_16.java,2
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_getDataStatistics_10.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/PooledConnection_clearWarnings_43.java,1
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_1.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_getUserById_8.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementDecoratorInterceptor_closeInvoked_0.java,0
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_getRenderers_6.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_updateArticleState_5.java,2
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_createCacheKey_18.java,1
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewMessageBodyWriter_isWriteable_2.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_updateUserEnabled_5.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_isCached_13.java,2
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderExceptionMapper_isMappable_1.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/DataStatisticsComponent_pvStatisticsPerDay_0.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_poolClosed_10.java,0
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewBundle_ViewBundle_1.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_updateUserEmail_2.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_getQueryStats_11.java,11
dropwizard/dropwizard,/dropwizard-views/src/main/java/io/dropwizard/views/common/ViewRenderException_ViewRenderException_2.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_reg_1.java,4
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_getCacheSizePerConnection_17.java,1
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonView_PersonView_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_deleteUserById_6.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementCache_poolClosed_7.java,0
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ErrorView_ErrorView_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_getAllRole_4.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_reportSlowQuery_5.java,7
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ValidationErrorView_ValidationErrorView_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_addTagsToArticle_1.java,1
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_setLogSlow_15.java,0
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsConfiguration_getViewRendererConfiguration_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_getCategories_9.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_reportQuery_4.java,3
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_initialize_0.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_getUserByNickname_3.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_isLogFailed_16.java,0
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_loadUserByUsername_0.java,1
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/ViewsApp_run_1.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/AbstractQueryReport_reportQuery_4.java,4
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_pvStatisticsPerDay_8.java,0
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/Person_getName_2.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/StatementDecoratorInterceptor_createStatement_2.java,10
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_getArticleById_7.java,0
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonDAO_find_0.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_reset_13.java,2
lenve/VBlog,/blogserver/src/main/java/org/sang/service/ArticleService_addNewArticle_0.java,22
dropwizard/dropwizard,/docs/source/examples/views/src/main/java/io/dropwizard/documentation/PersonView_getPerson_1.java,0
apache/tomcat,/modules/jdbc-pool/src/main/java/org/apache/tomcat/jdbc/pool/interceptor/SlowQueryReport_reportFailedQuery_3.java,6
lenve/VBlog,/blogserver/src/main/java/org/sang/service/UserService_updateUserRoles_7.java,0
