java_file,acoco,CAMC,CAMC-cvc,cc,coco,fout,hsd,hse,hsv,LCOM5,LCOM5-cvc,loc,midx,MMAC,MMAC-cvc,mncoco,mxcoco,NHD,NHD-cvc,nobl,nocl,SCOM,SCOM-cvc
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitPb_8.java,-,-,-,2,-,0,11.172,7661.669,685.767,-,-,17,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getLayout_15.java,-,-,-,3,-,0,10.014,8194.65,818.359,-,-,23,100,-,-,-,-,-,-,3,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getGc_11.java,-,-,-,3,-,0,8.643,5161.95,597.25,-,-,18,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getKc_3.java,-,-,-,3,-,0,9.672,6434.486,665.241,-,-,19,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitGc_10.java,-,-,-,2,-,0,10.071,6217.533,617.344,-,-,16,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitLayout_14.java,-,-,-,2,-,0,8.71,5245.973,602.315,-,-,15,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getTask_7.java,-,-,-,3,-,0,8.473,6672.294,787.48,-,-,23,100,-,-,-,-,-,-,3,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitQp_4.java,-,-,-,2,-,0,10.071,6217.533,617.344,-,-,16,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getPb_9.java,-,-,-,3,-,0,9.672,6434.486,665.241,-,-,19,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitDuels_12.java,-,-,-,2,-,0,13.312,11919.304,895.347,-,-,19,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitTask_6.java,-,-,-,2,-,0,13.355,11304.835,846.497,-,-,19,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getQp_5.java,-,-,-,3,-,0,8.643,5161.95,597.25,-,-,18,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getDuels_13.java,-,-,-,3,-,0,8.473,6672.294,787.48,-,-,23,100,-,-,-,-,-,-,3,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitKc_2.java,-,-,-,2,-,0,11.172,7661.669,685.767,-,-,17,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_getPetList_17.java,-,-,-,3,-,0,10,8892.686,889.269,-,-,24,100,-,-,-,-,-,-,3,2,-,-
/runelite-client/src/main/java/net/runelite/client/chat/ChatClient_submitPetList_16.java,-,-,-,2,-,0,8.625,5273.811,611.456,-,-,15,100,-,-,-,-,-,-,2,0,-,-
/runelite-client/src/main/java/net/runelite/client/Notifier_sendCommand_10.java,-,-,-,1,-,0,5.714,630.637,110.361,-,-,5,100,-,-,-,-,-,-,0,0,-,-
/runelite-client/src/main/java/net/runelite/client/config/ConfigInvocationHandler_invoke_1.java,-,-,-,25,-,0,31.143,118859.508,3816.59,-,-,99,82.645,-,-,-,-,-,-,19,6,-,-
/runelite-client/src/main/java/net/runelite/client/config/ConfigClient_get_3.java,-,-,-,2,-,0,7.317,6142.822,839.519,-,-,21,100,-,-,-,-,-,-,3,0,-,-
/runelite-client/src/main/java/net/runelite/client/config/ConfigClient_profiles_2.java,-,-,-,3,-,0,10.021,11291.877,1126.84,-,-,27,100,-,-,-,-,-,-,4,2,-,-
